Фирма,Область,Город,Дата накл,Факт.адрес доставки,Юр. адрес клиента,Клиент,Код клиента,Код подразд кл,ОКПО клиента,Лицензия,Дата окончания лицензии,Код товара,Штрих-код товара,Товар,Код мориона,ЕИ,Производитель,Поставщик,Количество,Склад/филиал
"ТОВ ""БаДМ""",КИЕВСКАЯ,ВИШНЕВОЕ,10/11/2021,"Вишневе, вул.Святошинська, 28","Київська обл., м. Київ, вул. Межова, буд. 18","Фармастор , ТОВ",15678,15678_273,34048360,АЕ №295239,12/31/2025,4785001,4820104990139,"Протаргол пор.д/р-ра д/интраназ.прим.0,2г фл.№1 +р-ль конт.с наз.распыл./",605003,УП,"ТОВ ""Исток-Плюс"", Україна","Исток-плюс ООО,Запорожье(631)",1,Киев Андакта Сводный
"ТОВ ""БаДМ""",КИЕВСКАЯ,ВИШНЕВОЕ,10/8/2021,"Вишневе, вул.Святошинська, 28","Київська обл., м. Київ, вул. Межова, буд. 18","Фармастор , ТОВ",15678,15678_273,34048360,АЕ №295239,12/31/2025,4785006,4820104990214,Сорбит пищев.доб. 250г в полиэт.пакетах.в уп.,693910,УП,"ТОВ ""Исток-Плюс"", Україна","Исток-плюс ООО,Запорожье(631)",2,Киев Андакта Сводный
"ТОВ ""БаДМ""",КИЕВСКАЯ,ВИШНЕВОЕ,10/8/2021,"м. Вишневе, вул. Першотравнева,26, ТЦ Новус","Київська обл., м. Київ, вул. Межова, буд. 18","Фармастор , ТОВ",15678,15678_297,34048360,АЕ №295239,12/31/2025,4785003,4820104990191,Стрептоцид порош.накож.15г фл.полимер.,530461,УП,"ТОВ ""Исток-Плюс"", Україна","Исток-плюс ООО,Запорожье(631)",1,Киев Андакта Сводный
"ТОВ ""БаДМ""",КИЕВСКАЯ,ВИШНЕВОЕ,10/7/2021,"м. Вишневе, вул. Першотравнева,26, ТЦ Новус","Київська обл., м. Київ, вул. Межова, буд. 18","Фармастор , ТОВ",15678,15678_297,34048360,АЕ №295239,12/31/2025,1323005,,Глюкоза-тест пор.д/орал.р-ра 75г конт.,190533,УП,"ТОВ""Исток-Плюс"", м. Запоріжжя, Україна","Исток-плюс ООО,Запорожье(631)",1,Киев Андакта Сводный
"ТОВ ""БаДМ""",КИЕВСКАЯ,ВИШНЕВОЕ,10/12/2021,"м. Вишневе, вул. Першотравнева,26, ТЦ Новус","Київська обл., м. Київ, вул. Межова, буд. 18","Фармастор , ТОВ",15678,15678_297,34048360,АЕ №295239,12/31/2025,1323011,4820104990221,Ксероформ пор.накож.10г флак.карт.уп,657565,УП,"ТОВ""Исток-Плюс"", м. Запоріжжя, Україна","Исток-плюс ООО,Запорожье(631)",1,Киев Андакта Сводный
"ТОВ ""БаДМ""",КИЕВСКАЯ,ВОЛОДАРКА,10/11/2021,"Київ.обл.,смт Володарка,вул.Коцюбинського,22,прим.17","Київська обл., Ставищенський район, смт.Ставище,вул.Цимбала Сергія, буд.30, кв.32","Фармація-Став, ТОВ",38619,38619_1,40296624,б/н,12/31/2026,4785004,4820104990054,Магния Сульфат пор.д/орал.прим.25г саше /,91490,УП,"ТОВ ""Исток-Плюс"", Україна","Исток-плюс ООО,Запорожье(631)",6,Киев Андакта Сводный
"ТОВ ""БаДМ""",КИЕВСКАЯ,ВЫШГОРОД,10/12/2021,"м.Вишгород, вул.Симоненка В., 4-в,корпус 3, пр..1008в","Київська обл., м.Бровари, вул.Маріїї Лагунової,18-Б,кв.187","АЛТЕЯ ОА, ТОВ",39674,39674_5,40873587,б/н,12/31/2060,4785005,4820104990245,Шиповник экстракт растворимый саше №30 диет.добав.,757252,УП,"ТОВ ""Исток-Плюс"", Україна","Исток-плюс ООО,Запорожье(631)",2,Киев Андакта Сводный
"ТОВ ""БаДМ""",КИЕВСКАЯ,ВЫШГОРОД,10/4/2021,"м.Вишгород, пр-т Шевченка, 1","Київська обл., с.Петропавлівська Борщагівка, вул.Леніна, б.1-Б,офіс 316","ВІТАМІН-1 , ТОВ",28446,28446_18,38182652,б/н,12/31/2025,4785003,4820104990191,Стрептоцид порош.накож.15г фл.полимер.,530461,УП,"ТОВ ""Исток-Плюс"", Україна","Исток-плюс ООО,Запорожье(631)",1,Киев Андакта Сводный
"ТОВ ""БаДМ""",КИЕВСКАЯ,ВЫШГОРОД,10/11/2021,"Київська обл., м.Вишгород, пр-т Мазепи Івана, 13/9","Київська обл., м. Київ, вул. Межова, буд. 18","Фармастор , ТОВ",15678,15678_84,34048360,АЕ №295239,12/31/2025,4785003,4820104990191,Стрептоцид порош.накож.15г фл.полимер.,530461,УП,"ТОВ ""Исток-Плюс"", Україна","Исток-плюс ООО,Запорожье(631)",1,Киев Андакта Сводный
"ТОВ ""БаДМ""",КИЕВСКАЯ,ВЫШГОРОД,10/1/2021,"Київська обл., м.Вишгород, пр-т Мазепи Івана, 13/9","Київська обл., м. Київ, вул. Межова, буд. 18","Фармастор , ТОВ",15678,15678_84,34048360,АЕ №295239,12/31/2025,4785003,4820104990191,Стрептоцид порош.накож.15г фл.полимер.,530461,УП,"ТОВ ""Исток-Плюс"", Україна","Исток-плюс ООО,Запорожье(631)",1,Киев Андакта Сводный
"ТОВ ""БаДМ""",КИЕВСКАЯ,ВЫШГОРОД,10/7/2021,"Київська обл., м.Вишгород, пр-т Мазепи Івана, 13/9","Київська обл., м. Київ, вул. Межова, буд. 18","Фармастор , ТОВ",15678,15678_84,34048360,АЕ №295239,12/31/2025,1323005,,Глюкоза-тест пор.д/орал.р-ра 75г конт.,190533,УП,"ТОВ""Исток-Плюс"", м. Запоріжжя, Україна","Исток-плюс ООО,Запорожье(631)",1,Киев Андакта Сводный
"ТОВ ""БаДМ""",КИЕВСКАЯ,ВЫШГОРОД,10/5/2021,"Київська обл., м.Вишгород, пр-т Мазепи Івана, 13/9","Київська обл., м. Київ, вул. Межова, буд. 18","Фармастор , ТОВ",15678,15678_84,34048360,АЕ №295239,12/31/2025,1323011,4820104990221,Ксероформ пор.накож.10г флак.карт.уп,657565,УП,"ТОВ""Исток-Плюс"", м. Запоріжжя, Україна","Исток-плюс ООО,Запорожье(631)",1,Киев Андакта Сводный
"ТОВ ""БаДМ""",КИЕВСКАЯ,ГАВРИЛОВКА,10/11/2021,"с.Гаврилівка, вул.Садова, 5-Б","Київська обл., Вишгородський р-н, село Гаврилівка, ВУЛИЦЯ 40 РОКІВ ПЕРЕМОГИ, будинок 16","Ладигін М.А. ,ФОП",42567,42567_1,2264905972,б/н,7/2/2025,4785003,4820104990191,Стрептоцид порош.накож.15г фл.полимер.,530461,УП,"ТОВ ""Исток-Плюс"", Україна","Исток-плюс ООО,Запорожье(631)",3,Киев Андакта Сводный
"ТОВ ""БаДМ""",КИЕВСКАЯ,ГАВРИЛОВКА,10/7/2021,"с.Гаврилівка, вул.Садова, 5-Б","Київська обл., Вишгородський р-н, село Гаврилівка, ВУЛИЦЯ 40 РОКІВ ПЕРЕМОГИ, будинок 16","Ладигін М.А. ,ФОП",42567,42567_1,2264905972,б/н,7/2/2025,1323005,,Глюкоза-тест пор.д/орал.р-ра 75г конт.,190533,УП,"ТОВ""Исток-Плюс"", м. Запоріжжя, Україна","Исток-плюс ООО,Запорожье(631)",2,Киев Андакта Сводный
"ТОВ ""БаДМ""",КИЕВСКАЯ,ГЛЕВАХА,10/4/2021,"смт Глеваха, вул.Вокзальна, 53","Київська обл., Васильківський р-н, смт.Гребінки, вул.Леніна, 8","Гребінківська зональна аптека №85 ТОВ, смт.Гребінки",25125,25125_4,22206481,АГ №583845,2/15/2100,4785004,4820104990054,Магния Сульфат пор.д/орал.прим.25г саше /,91490,УП,"ТОВ ""Исток-Плюс"", Україна","Исток-плюс ООО,Запорожье(631)",10,Киев Андакта Сводный
"ТОВ ""БаДМ""",КИЕВСКАЯ,ГНЕДИН,10/8/2021,"Бориспільський р-н, Гнідинська сільська рада, СТ ""Чайка"", вул. Центральна, 6","м.Київ, ВУЛИЦЯ РАЇСИ ОКІПНОЇ, будинок 8-Б","АДОНІС-ЦЕНТР, ТОВ",45693,45693_1,43516039,,,1323005,,Глюкоза-тест пор.д/орал.р-ра 75г конт.,190533,УП,"ТОВ""Исток-Плюс"", м. Запоріжжя, Україна","Исток-плюс ООО,Запорожье(631)",20,Киев Андакта Сводный
"ТОВ ""БаДМ""",КИЕВСКАЯ,ГНЕДИН,10/8/2021,"с/рада Гнідинська, ""Млиново"" урочище, вул.Олександрівська, 22","м.Київ, проспект Бажана, буд.12, кв.227",Клюсова М.В. ФОП,38539,38539_1,2300105843,б/н,12/31/2060,4785003,4820104990191,Стрептоцид порош.накож.15г фл.полимер.,530461,УП,"ТОВ ""Исток-Плюс"", Україна","Исток-плюс ООО,Запорожье(631)",2,Киев Андакта Сводный
"ТОВ ""БаДМ""",КИЕВСКАЯ,ГОСТОМЕЛЬ,10/11/2021,"Київська обл., смт Гостомель,вул.Леніна,9-Б","м.Київ, ВУЛИЦЯ СИРЕЦЬКА, будинок 30/1","АПТЕКА МІРРА , ТОВ",23210,23210_12,36865664,АВ №533670,5/5/2061,4785001,4820104990139,"Протаргол пор.д/р-ра д/интраназ.прим.0,2г фл.№1 +р-ль конт.с наз.распыл./",605003,УП,"ТОВ ""Исток-Плюс"", Україна","Исток-плюс ООО,Запорожье(631)",1,Киев Андакта Сводный
"ТОВ ""БаДМ""",КИЕВСКАЯ,ГОСТОМЕЛЬ,10/11/2021,"Київська обл., смт Гостомель,вул.Леніна,9-Б","м.Київ, ВУЛИЦЯ СИРЕЦЬКА, будинок 30/1","АПТЕКА МІРРА , ТОВ",23210,23210_12,36865664,АВ №533670,5/5/2061,4785008,4820104990177,Стрептоцид пор.накож.5г саше №20 в уп.,530460,УП,"ТОВ ""Исток-Плюс"", Україна","Исток-плюс ООО,Запорожье(631)",1,Киев Андакта Сводный
"ТОВ ""БаДМ""",КИЕВСКАЯ,ГОСТОМЕЛЬ,10/11/2021,"Київська обл., смт Гостомель,вул.Леніна,9-Б","м.Київ, ВУЛИЦЯ СИРЕЦЬКА, будинок 30/1","АПТЕКА МІРРА , ТОВ",23210,23210_12,36865664,АВ №533670,5/5/2061,1323005,,Глюкоза-тест пор.д/орал.р-ра 75г конт.,190533,УП,"ТОВ""Исток-Плюс"", м. Запоріжжя, Україна","Исток-плюс ООО,Запорожье(631)",3,Киев Андакта Сводный
"ТОВ ""БаДМ""",КИЕВСКАЯ,ГОСТОМЕЛЬ,10/9/2021,"Київська обл., м.Ірпінь, смт Гостомель, вул. Чкалова, 2, нежитлове приміщення №1.44","Київська обл., Бородянський район, селище міського типу Пісківка, ВУЛИЦЯ ФІЛІПОВА, будинок 11-А","АСТОРІЯ-ФАРМ, ТОВ",32745,32745_37,38833236,АЕ №193596,12/31/2100,4785001,4820104990139,"Протаргол пор.д/р-ра д/интраназ.прим.0,2г фл.№1 +р-ль конт.с наз.распыл./",605003,УП,"ТОВ ""Исток-Плюс"", Україна","Исток-плюс ООО,Запорожье(631)",1,Киев Андакта Сводный
"ТОВ ""БаДМ""",КИЕВСКАЯ,ГОСТОМЕЛЬ,10/6/2021,"Київська обл., м.Ірпінь, смт Гостомель, вул. Чкалова, 2, нежитлове приміщення №1.44","Київська обл., Бородянський район, селище міського типу Пісківка, ВУЛИЦЯ ФІЛІПОВА, будинок 11-А","АСТОРІЯ-ФАРМ, ТОВ",32745,32745_37,38833236,АЕ №193596,12/31/2100,1323006,,Протаргол пор.д/р-ра д/интраназ.прим.0.2г фл.№1+р-ль одн.конт.крыш-кап./,352806,ШТ,"ТОВ""Исток-Плюс"", м. Запоріжжя, Україна","Исток-плюс ООО,Запорожье(631)",1,Киев Андакта Сводный
"ТОВ ""БаДМ""",КИЕВСКАЯ,ГРЕБЕНКИ,10/9/2021,"Київська обл., смт.Гребінки, вул.Київська, 105","Київська обл., Бородянський район, селище міського типу Пісківка, ВУЛИЦЯ ФІЛІПОВА, будинок 11-А","АСТОРІЯ-ФАРМ, ТОВ",32745,32745_7,38833236,АЕ №193596,12/31/2100,4785003,4820104990191,Стрептоцид порош.накож.15г фл.полимер.,530461,УП,"ТОВ ""Исток-Плюс"", Україна","Исток-плюс ООО,Запорожье(631)",1,Киев Андакта Сводный
"ТОВ ""БаДМ""",КИЕВСКАЯ,ГРЕБЕНКИ,10/11/2021,"смт Гребінки, пр-т Науки, 8","Київська обл., Васильківський р-н, смт.Гребінки, вул.Леніна, 8","Гребінківська зональна аптека №85 ТОВ, смт.Гребінки",25125,25125_1,22206481,АГ №583845,2/15/2100,4785008,4820104990177,Стрептоцид пор.накож.5г саше №20 в уп.,530460,УП,"ТОВ ""Исток-Плюс"", Україна","Исток-плюс ООО,Запорожье(631)",3,Киев Андакта Сводный
"ТОВ ""БаДМ""",КИЕВСКАЯ,ДМИТРОВКА,10/4/2021,"Київська обл., Києво-Святошинський р-н, с.Дмитрівка, вул.Молодіжна, 12,","Київська область, Києво-Святошинський район, село Михайлівська Рубежівка, вул. Ватутіна , буд 86 кв 12","Сім`я та здоров`я, ТОВ",37085,37085_4,39689087,Б/н,12/30/2050,1323006,,Протаргол пор.д/р-ра д/интраназ.прим.0.2г фл.№1+р-ль одн.конт.крыш-кап./,352806,ШТ,"ТОВ""Исток-Плюс"", м. Запоріжжя, Україна","Исток-плюс ООО,Запорожье(631)",1,Киев Андакта Сводный
"ТОВ ""БаДМ""",КИЕВСКАЯ,ДОСЛИДНИЦКОЕ,10/11/2021,"Київська обл., Васильківський р-н, смт Дослідницьке, вул.Інженерна, 1","Київська обл., Васильківський р-н, смт Дослідницьке, вул.Інженерна, 8, кв.13",ФОП Басилкевич Т.І.,33228,33228_4,3288812322,АЕ №193810,12/31/2100,4785001,4820104990139,"Протаргол пор.д/р-ра д/интраназ.прим.0,2г фл.№1 +р-ль конт.с наз.распыл./",605003,УП,"ТОВ ""Исток-Плюс"", Україна","Исток-плюс ООО,Запорожье(631)",2,Киев Андакта Сводный
"ТОВ ""БаДМ""",КИЕВСКАЯ,ДЫМЕР,10/4/2021,"смт Димер, вул.Соборна (Леніна), 28-А","Київська обл.,м.Бровари,б-р Незалежності,17,секція 2, прим.1","АПТЕКА ДОБРОГО ДНЯ, ТОВ",33958,33958_47,39196410,АЕ № 194189,6/6/2060,4785001,4820104990139,"Протаргол пор.д/р-ра д/интраназ.прим.0,2г фл.№1 +р-ль конт.с наз.распыл./",605003,УП,"ТОВ ""Исток-Плюс"", Україна","Исток-плюс ООО,Запорожье(631)",3,Киев Андакта Сводный
"ТОВ ""БаДМ""",КИЕВСКАЯ,ДЫМЕР,10/11/2021,"смт Димер, вул.Соборна (Леніна), 28-А","Київська обл.,м.Бровари,б-р Незалежності,17,секція 2, прим.1","АПТЕКА ДОБРОГО ДНЯ, ТОВ",33958,33958_47,39196410,АЕ № 194189,6/6/2060,4785003,4820104990191,Стрептоцид порош.накож.15г фл.полимер.,530461,УП,"ТОВ ""Исток-Плюс"", Україна","Исток-плюс ООО,Запорожье(631)",1,Киев Андакта Сводный
"ТОВ ""БаДМ""",КИЕВСКАЯ,ЗАВОРИЧІ,10/12/2021,"с.Заворичі, вул.Шкільна, 31б","Київська обл., с. Запруддя, вул. 1 Травня, 31",Дячок С.О. ФОП,41486,41486_1,2714315850,б/н,11/4/2026,1323006,,Протаргол пор.д/р-ра д/интраназ.прим.0.2г фл.№1+р-ль одн.конт.крыш-кап./,352806,ШТ,"ТОВ""Исток-Плюс"", м. Запоріжжя, Україна","Исток-плюс ООО,Запорожье(631)",3,Киев Андакта Сводный
"ТОВ ""БаДМ""",КИЕВСКАЯ,ЗАПРУДДЯ,10/12/2021,"Київська обл., с.Запруддя, вул.І.Франка, 9","Київська обл., с. Запруддя, вул. 1 Травня, 31",Дячок С.О. ФОП,41486,41486_2,2714315850,б/н,11/4/2026,1323006,,Протаргол пор.д/р-ра д/интраназ.прим.0.2г фл.№1+р-ль одн.конт.крыш-кап./,352806,ШТ,"ТОВ""Исток-Плюс"", м. Запоріжжя, Україна","Исток-плюс ООО,Запорожье(631)",2,Киев Андакта Сводный
"ТОВ ""БаДМ""",КИЕВСКАЯ,ЗГУРІВКА,10/4/2021,"Київська обл., смт Згурівка, вул.Українська, 43а","Київська обл., Бородянський район, селище міського типу Пісківка, ВУЛИЦЯ ФІЛІПОВА, будинок 11-А","АСТОРІЯ-ФАРМ, ТОВ",32745,32745_23,38833236,АЕ №193596,12/31/2100,4785003,4820104990191,Стрептоцид порош.накож.15г фл.полимер.,530461,УП,"ТОВ ""Исток-Плюс"", Україна","Исток-плюс ООО,Запорожье(631)",1,Киев Андакта Сводный
"ТОВ ""БаДМ""",КИЕВСКАЯ,ИВАНКОВ,10/8/2021,"Київська обл., смт. Іванків, вул. Поліська, 47","Київська обл.,Києво-Святошинський р-н, м.Вишневе, вул.Святоюріївська,буд.11оф.1","СМАРТ-ФАРМАЦІЯ , ТОВ",35986,35986_21,39669610,АЕ №637363,12/31/2025,4785003,4820104990191,Стрептоцид порош.накож.15г фл.полимер.,530461,УП,"ТОВ ""Исток-Плюс"", Україна","Исток-плюс ООО,Запорожье(631)",2,Киев Андакта Сводный
"ТОВ ""БаДМ""",КИЕВСКАЯ,ИВАНКОВ,10/13/2021,"Київська обл., смт. Іванків, вул. Поліська, 47","Київська обл.,Києво-Святошинський р-н, м.Вишневе, вул.Святоюріївська,буд.11оф.1","СМАРТ-ФАРМАЦІЯ , ТОВ",35986,35986_21,39669610,АЕ №637363,12/31/2025,4785003,4820104990191,Стрептоцид порош.накож.15г фл.полимер.,530461,УП,"ТОВ ""Исток-Плюс"", Україна","Исток-плюс ООО,Запорожье(631)",2,Киев Андакта Сводный
"ТОВ ""БаДМ""",КИЕВСКАЯ,ИРПЕНЬ,10/4/2021,"смт. Коцюбинське, вул. Лісова, 20-А прим.3","Київська обл., м.Ірпінь, смт.Коцюбинське, вул.Лісова, б.20 а","100 Лет ТОВ, м.Ірпінь",24584,24584_1,36382785,АЕ295251,11/21/2025,1323005,,Глюкоза-тест пор.д/орал.р-ра 75г конт.,190533,УП,"ТОВ""Исток-Плюс"", м. Запоріжжя, Україна","Исток-плюс ООО,Запорожье(631)",1,Киев Андакта Сводный
"ТОВ ""БаДМ""",КИЕВСКАЯ,ИРПЕНЬ,10/6/2021,"Київська обл., м. Ірпінь, смт Гостомель, Гостомельське шосе, 1","м.Київ, ВУЛИЦЯ СИРЕЦЬКА, будинок 30/1","АПТЕКА МІРРА , ТОВ",23210,23210_27,36865664,АВ №533670,5/5/2061,4785001,4820104990139,"Протаргол пор.д/р-ра д/интраназ.прим.0,2г фл.№1 +р-ль конт.с наз.распыл./",605003,УП,"ТОВ ""Исток-Плюс"", Україна","Исток-плюс ООО,Запорожье(631)",1,Киев Андакта Сводный
"ТОВ ""БаДМ""",КИЕВСКАЯ,ИРПЕНЬ,10/8/2021,"Київська обл., м.Ірпінь, смт Ворзель, вул.Європейська, 9","Київська обл., Бородянський район, селище міського типу Пісківка, ВУЛИЦЯ ФІЛІПОВА, будинок 11-А","АСТОРІЯ-ФАРМ, ТОВ",32745,32745_31,38833236,АЕ №193596,12/31/2100,1323005,,Глюкоза-тест пор.д/орал.р-ра 75г конт.,190533,УП,"ТОВ""Исток-Плюс"", м. Запоріжжя, Україна","Исток-плюс ООО,Запорожье(631)",1,Киев Андакта Сводный
"ТОВ ""БаДМ""",КИЕВСКАЯ,ИРПЕНЬ,10/11/2021,"Київська обл., м.Ірпінь, вул.Шевченка Тараса, 16","Одеська обл., м.Одеса, вул. Ніжинська, буд. 65","Аптека Гаєвського , ТОВ",2020,02020_99,21032062,,,4785006,4820104990214,Сорбит пищев.доб. 250г в полиэт.пакетах.в уп.,693910,УП,"ТОВ ""Исток-Плюс"", Україна","Исток-плюс ООО,Запорожье(631)",1,Киев Андакта Сводный
"ТОВ ""БаДМ""",КИЕВСКАЯ,ИРПЕНЬ,10/13/2021,"м.Ірпінь, вул.Шевченка, 7-М","Київська обл., с.Петропавлівська Борщагівка, вул.Леніна, б.1-Б,офіс 316","ВІТАМІН-1 , ТОВ",28446,28446_14,38182652,б/н,12/31/2025,4785003,4820104990191,Стрептоцид порош.накож.15г фл.полимер.,530461,УП,"ТОВ ""Исток-Плюс"", Україна","Исток-плюс ООО,Запорожье(631)",1,Киев Андакта Сводный
"ТОВ ""БаДМ""",КИЕВСКАЯ,ИРПЕНЬ,10/4/2021,"м.Ірпінь, смт Гостомель, вул.Свято-Покровська, 19-А","Київська обл.,м.Вишневе, вул.СВЯТОЮРІЇВСЬКА, буд.11, офіс 3","ВІТАМІН-ЦЕНТР , ТОВ",41646,41646_26,41499787,б/н,1/12/2060,4785003,4820104990191,Стрептоцид порош.накож.15г фл.полимер.,530461,УП,"ТОВ ""Исток-Плюс"", Україна","Исток-плюс ООО,Запорожье(631)",1,Киев Андакта Сводный
"ТОВ ""БаДМ""",КИЕВСКАЯ,ИРПЕНЬ,10/13/2021,"Київська обл., м.Ірпінь, вул.Соборна, 1-к","Київська обл., м. Ірпінь, вул. Глінки, 2-а","Гуріна О. С., ФОП",38463,38463_1,2561713580,б/н,7/31/2026,4785001,4820104990139,"Протаргол пор.д/р-ра д/интраназ.прим.0,2г фл.№1 +р-ль конт.с наз.распыл./",605003,УП,"ТОВ ""Исток-Плюс"", Україна","Исток-плюс ООО,Запорожье(631)",2,Киев Андакта Сводный
"ТОВ ""БаДМ""",КИЕВСКАЯ,ИРПЕНЬ,10/1/2021,"Київська обл., м.Ірпінь, вул.Авіаконструктора Антонова, 3-в","м.Київ, пр-кт В.Маяковського, буд.1-В, прим.173","КОНАКА ФАРМ, ТОВ",44087,44087_20,42900732,б/н,12/31/2060,4785003,4820104990191,Стрептоцид порош.накож.15г фл.полимер.,530461,УП,"ТОВ ""Исток-Плюс"", Україна","Исток-плюс ООО,Запорожье(631)",1,Киев Андакта Сводный
"ТОВ ""БаДМ""",КИЕВСКАЯ,ИРПЕНЬ,10/13/2021,"Київська обл., м.Ірпінь, вул.Авіаконструктора Антонова, 3-в","м.Київ, пр-кт В.Маяковського, буд.1-В, прим.173","КОНАКА ФАРМ, ТОВ",44087,44087_20,42900732,б/н,12/31/2060,1323006,,Протаргол пор.д/р-ра д/интраназ.прим.0.2г фл.№1+р-ль одн.конт.крыш-кап./,352806,ШТ,"ТОВ""Исток-Плюс"", м. Запоріжжя, Україна","Исток-плюс ООО,Запорожье(631)",2,Киев Андакта Сводный
"ТОВ ""БаДМ""",КИЕВСКАЯ,ИРПЕНЬ,10/4/2021,"Київська обл., м.Ірпінь, вул.Авіаконструктора Антонова, 3-в","м.Київ, пр-кт В.Маяковського, буд.1-В, прим.173","КОНАКА ФАРМ, ТОВ",44087,44087_20,42900732,б/н,12/31/2060,1323006,,Протаргол пор.д/р-ра д/интраназ.прим.0.2г фл.№1+р-ль одн.конт.крыш-кап./,352806,ШТ,"ТОВ""Исток-Плюс"", м. Запоріжжя, Україна","Исток-плюс ООО,Запорожье(631)",2,Киев Андакта Сводный
"ТОВ ""БаДМ""",КИЕВСКАЯ,ИРПЕНЬ,10/8/2021,"м.Ірпінь, вул.Сковороди Григорія, 11/2, прим.99","м. Київ, вул Пушкінська, буд. 11, нежитлове прим. 23 литера А","ЛАСКАВА-ФАРМ, ТОВ",39961,39961_10,40927789,б/н,12/31/2027,4785001,4820104990139,"Протаргол пор.д/р-ра д/интраназ.прим.0,2г фл.№1 +р-ль конт.с наз.распыл./",605003,УП,"ТОВ ""Исток-Плюс"", Україна","Исток-плюс ООО,Запорожье(631)",1,Киев Андакта Сводный
"ТОВ ""БаДМ""",КИЕВСКАЯ,ИРПЕНЬ,10/12/2021,"Київська обл., м.Ірпінь, вул.Університетська, 3/9, прим.101","Дніпропетровська обл., місто Дніпро, ПРОСПЕКТ ГЕРОЇВ, будинок 11Б","МЕД-СЕРВІС, ТОВ",33339,33339_58,32772863,АВ №528089,12/31/2100,4785001,4820104990139,"Протаргол пор.д/р-ра д/интраназ.прим.0,2г фл.№1 +р-ль конт.с наз.распыл./",605003,УП,"ТОВ ""Исток-Плюс"", Україна","Исток-плюс ООО,Запорожье(631)",1,Киев Андакта Сводный
"ТОВ ""БаДМ""",КИЕВСКАЯ,ИРПЕНЬ,10/6/2021,"Київська обл., м.Ірпінь, вул.Університетська, 3/9, прим.101","Дніпропетровська обл., місто Дніпро, ПРОСПЕКТ ГЕРОЇВ, будинок 11Б","МЕД-СЕРВІС, ТОВ",33339,33339_58,32772863,АВ №528089,12/31/2100,4785001,4820104990139,"Протаргол пор.д/р-ра д/интраназ.прим.0,2г фл.№1 +р-ль конт.с наз.распыл./",605003,УП,"ТОВ ""Исток-Плюс"", Україна","Исток-плюс ООО,Запорожье(631)",1,Киев Андакта Сводный
"ТОВ ""БаДМ""",КИЕВСКАЯ,ИРПЕНЬ,10/1/2021,"м.Ірпінь, вул.Джерельна, 2, прим.126","Житомирська обл., місто Малин, ВУЛИЦЯ ВИННИЧЕНКА, будинок 20","НІКОН, ПП",3671,003671_10,24705099,АВ №579558,12/31/2025,4785004,4820104990054,Магния Сульфат пор.д/орал.прим.25г саше /,91490,УП,"ТОВ ""Исток-Плюс"", Україна","Исток-плюс ООО,Запорожье(631)",10,Киев Андакта Сводный
"ТОВ ""БаДМ""",КИЕВСКАЯ,ИРПЕНЬ,10/4/2021,"Київська обл., м.Ірпінь, вул.Соборна, 160 Б","Київська обл., м.Київ, вул. Олександра Мишуги 3в, літера А","ТАС-ФАРМА, ТОВ",21656,21656_164,16280214,АЕ № 193960,12/31/2026,1323002,4820104990016,Бария сульфат д/рентгеноск.пор.д/п сусп.80г*,161310,УП,"ТОВ""Исток-Плюс"", м. Запоріжжя, Україна","Исток-плюс ООО,Запорожье(631)",1,Киев Андакта Сводный
"ТОВ ""БаДМ""",КИЕВСКАЯ,ИРПЕНЬ,10/6/2021,"Київська обл., м.Ірпінь, вул.Соборна, 160 Б","Київська обл., м.Київ, вул. Олександра Мишуги 3в, літера А","ТАС-ФАРМА, ТОВ",21656,21656_164,16280214,АЕ № 193960,12/31/2026,1323005,,Глюкоза-тест пор.д/орал.р-ра 75г конт.,190533,УП,"ТОВ""Исток-Плюс"", м. Запоріжжя, Україна","Исток-плюс ООО,Запорожье(631)",1,Киев Андакта Сводный
"ТОВ ""БаДМ""",КИЕВСКАЯ,ИРПЕНЬ,10/5/2021,"м.Ірпінь, вул.Центральна, 2","Київська обл., м. Київ, вул. Межова, буд. 18","Фармастор , ТОВ",15678,15678_317,34048360,АЕ №295239,12/31/2025,1323011,4820104990221,Ксероформ пор.накож.10г флак.карт.уп,657565,УП,"ТОВ""Исток-Плюс"", м. Запоріжжя, Україна","Исток-плюс ООО,Запорожье(631)",1,Киев Андакта Сводный
"ТОВ ""БаДМ""",КИЕВСКАЯ,КАГАРЛЫК,10/13/2021,"м.Кагарлик, вул.Незалежності,2А  ","місто Київ, ПРОСПЕКТ ЛІСОВИЙ, будинок 39-А","СІРІУС-95, ТОВ",9807,09807_58,23512911,АВ №579488,10/18/2100,1323006,,Протаргол пор.д/р-ра д/интраназ.прим.0.2г фл.№1+р-ль одн.конт.крыш-кап./,352806,ШТ,"ТОВ""Исток-Плюс"", м. Запоріжжя, Україна","Исток-плюс ООО,Запорожье(631)",3,Киев Андакта Сводный
"ТОВ ""БаДМ""",КИЕВСКАЯ,КАГАРЛЫК,10/6/2021,"м.Кагарлик, вул.Незалежності,2А  ","місто Київ, ПРОСПЕКТ ЛІСОВИЙ, будинок 39-А","СІРІУС-95, ТОВ",9807,09807_58,23512911,АВ №579488,10/18/2100,1323006,,Протаргол пор.д/р-ра д/интраназ.прим.0.2г фл.№1+р-ль одн.конт.крыш-кап./,352806,ШТ,"ТОВ""Исток-Плюс"", м. Запоріжжя, Україна","Исток-плюс ООО,Запорожье(631)",5,Киев Андакта Сводный
